题目id	Latex
2573	At a monthly meeting, $$\frac2 5$$ of the attendees were males and $$\frac7 8$$ of the male attendees arrived on time. If $$\frac9 {10}$$ of the female attendees arrived on time, what fraction of the attendees at the monthly meeting did not arrive on time?
2578	If 5x = 2y and $${x}{y}!={0}$$, then x is what percent of y?
2579	[img]0310.jpg[/img][br/]In the figure shown, two identical squares are inscribed in the rectangle. If the perimeter of the rectangle is $$18\sqrt2$$, then what is the perimeter of each square?
2580	The sequence $${a}_{1}$$, $${a}_{2}$$, $${a}_{n}$$,  such that $${a}_{n}={2a}_{n-1}-{x}$$ for all positive integers $$n \ge 2$$ and for certain number x. If $${a}_{5}={99}$$ and $${a}_{3}={27}$$, what is the value of x?
2582	If $${x}!={0}$$, then $$({x}+\frac1 x)^{2}-({x}-\frac1 x)^{2}=$$
2583	If a certain coin is flipped, the probability that the coin will land heads is $$\frac1 2$$. If the coin is flipped 5 times, what is the probability that it will land heads up on the first 3 flips and not on the last 2 flips?
2584	The function f is defined by $${f}({x})=\sqrt x-{10}$$ for all positive numbers x. If $$u = f(t)$$ for some positive numbers $$t$$ and $$u$$. What is t in terms of $$u$$?
2587	If x and y are positive integers, and $${x}^{3}{y}^{4}={2000}$$, which of the following is the value of $$xy$$?
2603	Company S produces two kinds of stereos:basic and deluxe. Of the stereos produced by Company S last month, $$\frac2 3$$ were basic and the rest were deluxe. If it takes $$\frac7 5$$ as many hours to produce a deluxe stereo as it does to produce a basic stereo, then the number of hours it took to produce the deluxe stereos last month was what fraction of the total number of hours it took to produce all the stereos?
2604	$${99},{999}^{2}-{1}^{2}=$$
2606	Which of the following is equal to $$({2}^{k})({5}^{k-1})$$?
2607	If $$\sqrt x=25$$, then $$x^3-x^2=$$
2608	[img]0421.jpg[/img][br/]Note:Figure not drawn to scale.On line segment AD shown, $$AB=\frac1 2CD$$ and BC = 10. If AD = 100, then CD =
	
	
2616	The operation $$\Delta$$ is defined for all nonzero x and y by $${x}\Delta{y}={x}+\frac x y$$. If $$a  > 0$$, then $$1\Delta (1\Delta a) =$$
2621	$$\sqrt{{2\sqrt{63}}+{\frac2 {8+3\sqrt7}}}$$
2622	The infinite sequence $${a}_{1}$$, $${a}_{2}$$,…, $${a}_{n}$$,… is such that $${a}_{1}={2}$$, $${a}_{2}=-{3}$$, $${a}_{3}={5}$$, $${a}_{4}=-{1}$$, and $${a}_{n}={a}_{n-4}$$ for $$n  > 4$$. What is the sum of the first 97 terms of the sequence?
2625	For any integer k greater than 1, the symbol $${k}^\ast$$ denotes the product of all the fractions of the form $$\frac1 t$$, where t is an integer between 1 and k, inclusive. What is the value of $$\frac{{5}^\ast} {{4}^\ast}$$?
2628	If $${5}^{x}-{5}^{x-3}=({124})({5}^{y})$$, what is y in terms of x?
2634	If $$\frac{7x} 3+a=8$$ and $$a  > 8$$, then, in terms of a, $$\frac{3x} 7=$$
2640	A certain business produced x rakes each month form November through February and shipped $$\frac x 2$$ rakes at the beginning of each month from March through October. The business paid no storage costs for the rakes from November through February, but it paid storage costs of $0.10 per rake each month from March through October for the rakes that had not been shipped. In terms of x, what was the total storage cost, in dollars, that the business paid for the rakes for the 12 months form November through October?
2647	Enrollment in City College in 1980 was $${83}\frac1 3$$ percent of enrollment in 1990. What was the percent increase in the college's enrollment from 1980 to 1990?
2648	The operation $$O$$ is defined by the equation $$x O y$$ = $$\frac{x-y} {x+y}$$, where $${y}!=-{x}$$. If $$3 O y = 5 O 4$$, then y =
2650	If Henry were to add 5 gallons of water to a tank that is already $$\frac3 4$$ full of water, the tank would be $$\frac7 8$$ full. How many gallons of water would the tank hold if it were full?
2653	On an aerial photograph, the surface of a pond appears as circular region of radius $$\frac7 {16}$$ inch. If a distance of 1 inch on the photograph corresponds to an actual distance of 2 miles, which of the following is the closest estimate of the actual surface area of the pond, in square miles?
2655	If $${3}^{6x}=8,100$$, what is the value of $$({3}^{x-1})^{3}$$ ?
2666	If a and b are positive integers such that $$a - b$$ and $$\frac a b$$ are both even integers, which of the following must be an odd integer?
2668	A total of n trucks and cars are parked in a lot. If the number of cars is $$\frac1 4$$ the number of rucks,and $$\frac2 3$$ of the trucks are pickups, how many pickups, in terms of n, are parked in the lot?
2681	If n is the product of the integers from1 to 20 inclusive, what is the greatest integer k for which $${2}^{k}$$ is a factor of n?
2686	If $${10}^{50}-{74}$$ is written as an integer in base 10 notation, what is the sum of the digits in that integer?
2687	Ann, Carol, and Judy paid a total of $45 for their dinner at a restaurant. If Ann paid $$\frac2 5$$ of the total amount, Carol paid $17, and Judy paid the rest, what fraction of the total amount did Judy pay?
2690	If $$x  > 0$$, then $$\frac1 {\sqrt{2x}+\sqrt{x}}$$ =
2693	Running at their respective constant rates, machine X takes 2 days longer to produce w widgets than machine Y. At these rates, if the two machines together produce $$\frac5 4$$ w widgets in 3 days, how many days would it take machine X alone to produce 2w widgets?
2694	If $${n}={8}^{11}-{8}$$, what is the units digit of n?
2695	For any positive integer n, the sum of the first n positive integers equals $$\frac{n(n+1)} 2$$. What is the sum of all the even integers between 99 and 301?
2702	If S is the sum of the reciprocals of the consecutive integers from 91 to 100, inclusive, which of the following is less than S?[br/]I.$$\frac1 8$$[br/]II.$$\frac1 9$$[br/]III. $$\frac1 {10}$$
2705	An equilateral triangle that has an area of $${9}\sqrt{3}$$is inscribed in a circle. What is the area of the circle?
2708	Which of the following is equal to $$\frac{2^{12}-2^6} {2^6-2^3}$$?
2716	If $$\frac {0.5} {\frac1 6}=\frac1 x$$, what is the value of x ?
2718	What is the greatest prime factor of $${2}^{100}-{2}^{96}$$ ?
2722	$${4}^{3}+{4}^{3}+{4}^{3}+{4}^{3}$$ =
2724	If n is the greatest positive integer for which $${2}^{n}$$ is a factor of $$10!$$, then n =
2731	If $${x}^{2}-{2}<{0}$$, which of the following specifies all the possible values of x ?
2735	If $${2}{x}^{2}-{y}^{2}={2}{x}{y}$$, then $$({x}+{y})^{2}=$$
2745	In a certain English class, $$\frac1 4$$ of the number of girls is equal to $$\frac1 6$$ of the total number of students. What is the ratio of the number of boys to the number of girls in the class?
2751	When positive integer x is divided by positive integer y, the remainder is 9. If $$\frac x y=96.12$$, what is the value of y?
2754	The operation $$\bigodot$$ is defined for all nonzero numbers a and b by $$a \bigodot b =\frac a b-\frac b a$$. If x and y are nonzero numbers, which of the following statements must be true?[br/]I.$$x \bigodot xy = x(1 \bigodot y)$$[br/]II.$$x \bigodot y = -(y \bigodot x)$$[br/]III.$$\frac1 x \bigodot \frac1 y$$ =$$ y \bigodot x$$
2756	$${C}{n \choose m}=\frac{m!}{[(m-n)!n!]}$$ for nonnegative integers m and n, $$m \ge n$$. If $${C}{3 \choose 5}={C}{x \choose 5}$$ and $$x \neq 3$$, what is the value of x?
2762	The value of $$({9}\cdot{10}^{7})({9}\cdot{10}^{8})$$ is closest to which of the following?
2763	Of the goose eggs laid at a certain pond, $$\frac2 3$$ hatched, and $$\frac3 4$$ of the geese that hatched from those eggs survived the first month. Of the geese that survived the first month, $$\frac3 5$$ did not survive the first year. If 120 geese survived the first year and if no more than one goose hatched from each egg, how many goose eggs were laid at the pond?
2766	What is the value of $$\mid x\mid $$ ?[br/](1)$$x = -\mid x \mid$$[br/](2)$${x}^{2}$$ = 4
2767	Is r greater than 0.27?[br/](1)r is greater than$$\frac1 4$$[br/](2)r is equal to$$\frac3 {10}$$
2771	If r and s are positive integers, r is what percent Of s[br/](1)r=$$\frac3 4s$$[br/](2)r+s=$$\frac{75} {100}$$
2775	Does the product jkmn equal 1?[br/](1)$$\frac{jk} {mn}=1$$[br/](2)$$j=\frac1 k$$ and $$m=\frac1 n$$
2782	Water is pumped into a partially filled tank at a constant rate through an inlet pipe. At the same time, water is pumped out of the tank at a constant rate through an outlet pipe. At what rate, in gallons per minute, is the amount of water in the tank increasing?[br/](1)The amount of water initially in the tank is 200 gallons.[br/](2)Water is pumped into the tank at a rate of 10 gallons per minute and out of the tank at a rate of 10 gallons every $${2}\frac1 2$$ minutes.
2784	Does 2m-3n = 0?[br/](1)$${m}!={0}$$[br/](2)6m = 9n
2791	Is x an integer?[br/](1)$$\frac x 2$$ is an integer.[br/](2)2x is an integer.
2792	What is the value of x?[br/](1)2x + 1 = 0[br/](2)$$({x}+{1})^{2}={x}^{2}$$
2793	What is the value of$$\frac1 k+\frac1 r$$[br/](1)k+r=20[br/](2)kr = 64
2794	If x is equal to one of the numbers $$\frac1 4$$, $$\frac3 8$$ or $$\frac2 5$$what is the value of x ?[br/](1)$$\frac1 4<{x}<\frac1 2$$[br/](2)$$\frac1 3<{x}<\frac3 5$$
2797	What number is 15 percent of x ?[br/](1)18 is 6 percent of x.[br/](2)$$\frac2 3$$ of x is 200.
2803	What is the value of integer n ?[br/](1)n(n+1) = 6[br/](2)$${2}^{2}{n}$$ = 16
2809	What is the tenths digit in the decimal representation of a certain number?[br/](1)The number is less than $$\frac1 3$$[br/](2)The number is greater than $$\frac1 4$$
2810	If the two floors in a certain building are 9 feet apart, how many steps are there in a set of stairs that extends from the first floor to the second floor of the building?[br/](1)Each step is $$\frac3 4$$ foot high.[br/](2)Each step is 1 foot wide.
2811	If $${x}{y}!={0}$$, is $$\frac x y<0$$ ?[br/](1)x=-y[br/](2)-x = -(-y)
2813	If x and y are positive, is $$\frac x y$$ greater than 1 ?[br/](1)$$xy >1$$[br/](2)$$x-y >0$$
2815	If x,y, and z are nonzero numbers, is xz - 12?[br/](1)$${x}^{2}yz= 12xy$$[br/](2)$$\frac{z}{4}=\frac{3}{x}$$
2817	What is the value of n in the equation $$-25 + 19 + n = s$$?[br/](1)$$s = 2$$[br/](2)$$\frac{n}{s} = 4$$
2819	What is the value of $$xy$$?[br/](1)$$y=x+1$$[br/](2)$$y={x}^{2} + 1$$
2820	What is the value of $$\frac1 x+\frac1 y$$?[br/](1)x+ y= 14[br/](2)xy=24
2823	If $$\sqrt {\frac x y}=n$$ what is the value of $$x$$?[br/](1)$$yn=10$$[br/](2)$$y=40$$ and $$n=\frac1 4$$
2825	What is the number of members of Oub X who are at least 35 years of age?[br/](1)Exactly $$\frac3 4$$ of the members of Club x are under 35 years of age.[br/](2)The 64 women in Club x constitute 40 percent of the club's membership.
2827	Is $$x >{y}$$?[br/](1)$$x = y + 2$$[br/](2)$$\frac x 2 = y-1$$
2828	If m is an integer, is m odd?[br/](1)$$\frac m 2$$ is not an even integer.[br/](2)m - 3 is an even integer.
2832	Paula and Sandy were among those people who sold raffle tickets to raise money for Club X. If Paula and Sandy sold a total of 100 of the tickets, how many of the tickets did Paula sell?[br/](1)Sandy sold $$\frac2 3$$ as many of the raffle tickets as Paula did.[br/](2)Sandy sold 8 percent of all the raffle tickets sold for Club X.
2842	While on a straight road, Car X and Car Y are traveling at different constant rates. If Car X is now 1 mile ahead of Car Y, how many minutes from now will Car X be 2 miles ahead of Car Y ?[br/](1)Car X is traveling at 50 miles per hour and Car Y is traveling at 40 miles per hour.[br/](2)Three minutes ago Car X was $$\frac1 2$$ mile ahead of Car Y.
2845	A box contains only red chips, white chips, and blue chips. If a chip is randomly selected from the box, what is the probability that the chip will be either white or blue?[br/](1)The probability that the chip will be blue is $$\frac1 5$$[br/](2)The probability that the chip will be red is $$\frac1 3$$
2846	[img]DS1183.jpg[/img][br/]If the successive tick marks shown on the number line above are equally spaced and if x and y are the numbers designating the end points of intervals as shown, what is the value of y ?[br/](1)$$x=\frac1 2$$[br/](2)$$y-x =\frac2 3$$
2847	On a company-sponsored cruise, $$\frac2 3$$ of the passengers were company employees and the remaining passengers were their guests. If $$\frac3 4$$ of the company-employee passengers were managers, what was the number of company-employee passengers who were NOT managers?[br/](1)There were 690 passengers on the cruise.[br/](2)There were 230 passengers who were guests of the company employees.
2851	What was the revenue that a theater received from the sale of 400 tickets, some of which were sold at the full price and the remainder of which were sold at a reduced price?[br/](1)The number of tickets sold at the full price was $$\frac1 4$$of the total number of tickets sold.[br/](2)The full price of a ticket was $25.
2854	By what percent did the median household income in Country Y decrease from 1970 to 1980?[br/](1)In 1970 the median household income in Country Y was$$\frac2 3$$ of the median household income in Country X.[br/](2)In 1980 the median household income in Country Y was $$\frac1 2$$ of the median household income in Country X.
2860	What is the value of $${5}{x}^{2}+ 4x - 1$$?[br/](1)$$x(x+2) = 0$$[br/](2)$$x=0$$
2864	If S is the infinite sequence $${S}_{1}={9}$$, $${S}_{2}={99}$$, $${s}_{3}={999}$$ . . ., $${S}_{k}={10}^{k}-{1}$$, . . ., is every term in S divisble by the prime number p ?[br/](1)p is greater than 2.[br/](2)At least one term in sequence S is divisble by p.
2865	[img]DS11102.jpg[/img][br/]Quadrilateral RSTU shown above is a site plan for a parking lot in which side RU is parallel to side ST and RU is longer than ST. What is the area of the parking lot?[br/](1)$$RU = 80$$ meters[br/](2)$$TU = 20\sqrt{10}$$ meters
2866	If n and k are greater than zero, is$$\frac n k$$ an integer[br/](1)n and k are both integers.[br/](2)$${n}^{2}$$ and $${k}^{2}$$ are both integers.
2870	Any decimal that has only a finite number of nonzero digits is a terminating decimal. For example, 24, 0.82, and 5.096 are three terminating decimals. If r and s are positive integers and the ratio $$\frac r s $$ is expressed as a decimal, is $$\frac r s$$ a terminating decimal?[br/](1)$$90 < r < 100$$[br/](2)$$s = 4$$
2874	The price per share of Stock X increased by 10 percent over the same time period that the price per share of Stock Y decreased by 10 percent. The reduced price per share of Stock Y was what percent of the original price per share of Stock X ?[br/](1)The increased price per share of Stock X was equal to the original price per share of Stock Y.[br/](2)The increase in the price per share of Stock X was $$\frac{10} {11}$$ the decrease in the price per share of Stock Y.
2875	Is k greater than t?[br/](1)$$kt = 24$$[br/](2)$${k}^{2} >{t}^{2}$$
2876	[img]DS11113.jpg[/img][br/]In the figure above, if the area of triangular region D is 4, what is the length of a side of square region A ?[br/](1)The area of square region B is 9.[br/](2)The area of square region C is $$\frac{64}{9}$$
2877	If x is to be selected at random from set T,what is the probability that $$\frac{1}{4}{x}-{5}<{0}$$ ?[br/](1)T is a set of 8 integers.[br/](2)T is contained in the set of integers from 1 to 25, inclusive.
2879	what is the value of $$({a}+{b})^{2}$$[br/](1)$$ab=0$$[br/](2)$$({a}-{b})^{2}=36$$
2880	[img]ds2880.jpg[/img][br/]In the figure above,what is the ratio $$\frac{KN}{MN}$$?[br/](1)The perimeter of rectangle $$KLMN$$ is 30 meters[br/](2)The tfree small rectangles have the same dimensions
2881	If n s a positive integer, is $$\frac{150}{n}$$ an integer?[br/](1)$$n < 7$$[br/](2)n is a prime number
2882	Is $$2x- 3y < {x}^{2}$$?[br/](1)$$2x-3y=-2$$[br/](2)$$x >2$$ and $$y >0$$
2884	If $$\frac{x}{2}=\frac{3}{y}$$,is x less than y?[br/](1)$${y}\ge{3}$$[br/](2)$${y}\le{4}$$
2885	If v and w are different integers, does v=0?[br/](1)$${v}{w}={v}^{2}$$[br/](2)$$w=2$$
